,學習階段,學校名稱,縣市,地區
0,高中,國立基隆高級中學,基隆,北部
1,高中,臺北市立永春高級中學,台北,北部
2,高中,臺北市立第一女子高級中學,台北,北部
3,高中,私立泰北高級中學,台北,北部
4,高中,臺北市立陽明高級中學,台北,北部
5,高中,臺北市立復興高級中學,台北,北部
6,高中,臺北市立中崙高級中學,台北,北部
7,高中,臺北市立麗山高級中學,台北,北部
8,高中,私立金陵女子高級中學,新北,北部
9,高中,私立及人高級中學,新北,北部
10,高職,私立莊敬高級工業家事職業學校,新北,北部
11,高中,新北市立三民高級中學,新北,北部
12,高中,新北市立北大高級中學,新北,北部
13,高中,私立醒吾高級中學,新北,北部
14,高中,新北市立清水高級中學,新北,北部
15,高職,國立中壢高級家事商業職業學校,桃園,北部
16,高中,私立啟英高級中學,桃園,北部
17,高中,國立中央大學附屬中壢高中,桃園,北部
18,高中,桃園市立平鎮高級中學,桃園,北部
19,高中,私立大明高級中學,台中,中部
20,高中,私立明德高級中學,台中,中部
21,高中,私立嶺東高級中學,台中,中部
22,高職,私立光華高級工業職業學校,台中,中部
23,高中,臺中市立惠文高級中學,台中,中部
24,高中,私立明道高級中學,台中,中部
25,高中,私立葳格高級中學,台中,中部
26,高中,國立員林高級中學,彰化,中部
27,高中,私立精誠高級中學,彰化,中部
28,高中,國立南投高級中學,南投,中部
29,高中,南投縣立旭光高級中學,南投,中部
30,高中,國立新港藝術高級中學,嘉義,中部
31,高中,私立同濟高級中學,嘉義,中部
32,高中,私立宏仁女子高級中學,嘉義,中部
33,高中,國立臺南家齊女子高級中學,台南,南部
34,高中,私立聖功女子高級中學,台南,南部
35,高中,私立德光高級中學,台南,南部
36,高職,私立南英高級商工職業學校,台南,南部
37,高中,高雄市立文山高級中學,高雄,南部
38,高中,私立立志高級中學,高雄,南部
39,高職,私立三信高級家事商業職業學校,高雄,南部
40,高中,國立羅東高級中學,宜蘭,北部
41,高中,國立蘭陽女子高級中學,宜蘭,北部
42,高職,國立花蓮高級工業職業學校,花蓮,東部
43,高中,私立四維高級中學,花蓮,東部
44,高中,私立海星高級中學,花蓮,東部
45,高中,臺南市私立聖功女子高級中學,台南,南部
46,高職,臺中市私立光華高級工業職業學校,台中,中部
47,高中,臺北市立第一女子高級中學,台北,北部
48,高中,南投縣立旭光高級中學,南投,中部
49,高中,高雄市立文山高級中學,高雄,南部
50,高中,新北市私立金陵女子高級中學,新北,北部
51,高中,國立新港藝術高級中學,嘉義,中部
52,高中,臺北市立內湖高級中學,台北,北部
53,高中,桃園市立平鎮高級中學,桃園,北部
54,高中,花蓮縣私立海星高級中學,花蓮,東部
55,高職,高雄市私立三信高級家事商業職業學校,,
56,高中,臺北市立復興高級中學,台北,北部
57,高中,新北市立北大高級中學,新北,北部
58,高中,新竹市私立曙光女子高級中學,新北,北部
59,高中,臺中市立臺中女子高級中等學校,台中,中部
60,高中,國立中央大學附屬中壢高級中學,桃園,北部
61,高職,國立花蓮高級工業職業學校,花蓮,東部
62,高職,新北市私立莊敬高級工業家事職業學校,新北,北部
63,高中,新北市立明德高級中學,新北,北部
64,高中,花蓮縣私立四維高級中學,花蓮,東部
65,高中,臺北市立陽明高級中學,台北,北部
66,高中,臺中市私立明道高級中學,台中,中部
67,高中,桃園市私立啟英高級中學,桃園,北部
68,高中,臺北市立中崙高級中學,台北,北部
69,高中,國立武陵高級中學,桃園,北部
70,高中,臺南市私立德光高級中學,台南,南部
71,高中,國立新豐高級中學,台南,南部
72,高中,國立臺南家齊女子高級中學,台南,南部
73,高中,高雄市私立立志高級中學,高雄,南部
74,高職,國立中壢高級商業職業學校,桃園,北部
