學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
110,公立,一般大學,0001,國立政治大學,01111001,教育學系,日間,學士班(含四技),49,0,49,3,100.00,教育研究所(原名公民教育研究所)為本校首先成立的四個研究所之一，乃台灣最早成立的教育研究所。民國44年大學部招生。為提昇國內教育研究所的學術水準，本系於民國66年成立博士班，迄八十五學年度起系所合一，自學士班至博士班，有系統培養具備獨立思考及研究能力的教育專業人才。以下為本系所特色說明：1. 師資陣容堅強，學生素質優良，居國內教育領域學系牛耳地位。2. 旨在培養中等學校師資、教育行政人才。3. 課程與政大附中及政大實驗小學有密切合作。,http://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,02221020,歷史學系,日間,學士班(含四技),41,0,41,4,100.00,本系以「培養歷史教育、研究人才與文化工作者」為教育目標。本系師資多元，且其近十數年來的研究成果可謂全國歷史系翹楚。大學部專業課程多元且相對完整，大致分為基礎及進階二大部份，兼具廣度與深度。基礎課程開設於大一、大二。大二以上的進階課程，分為專史與專題類二部分。期使同學經由基礎課程獲得廣泛而通論性的歷史知識與理念，再藉由進階課程引導學生進入各自有興趣的主題，進一步學習與探索，更深入歷史殿堂，使個人潛能得以充分發展。,https://history.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,02222031,民族學系,日間,學士班(含四技),39,0,37,2,95.12,本系主要學科發展方向為：本著當代民族與族群研究的認知觀點，透過語言、文字、歷史、文化、社會與國家等各個面向，配合民族學、人類學等相關人文、社會學科的學理基礎，來了解國際及國內社會的多民族（族群）性質，並藉此探究相關發展趨勢與解決有關問題的可能性。因此，對於多民族（族群）的性質異同的理性認知是本系的教學目標；不同民族（族群）之間文化內涵的理解是本系呈現的風格；以尊重知識為本、做為調和民族（族群）關係並開展人文關懷是本系培育人才的基本思路。本系為當前國內大學中唯一的「民族學系」，承繼本校半個世紀來的「邊政－民族」教學與研究特殊傳統；無論從時空歷史傳承、相關人文社會學科領域發展來看，可以說都是本校以及國內相當具有特色的學系。目前，學士班每年招收41名學生，碩士班每年招收8名研究生，博士班每年招收2名研究生。,http://www.nccu.edu.tw/zh_tw/academics
110,公立,一般大學,0001,國立政治大學,02231022,哲學系,日間,學士班(含四技),49,0,48,1,98.00,本系向來以開放的視野深入探索各大哲學傳統，並配合本校以人文社會科學為主的特色，發展人文社會科學的哲學基礎研究。今再延伸於科技之人文價值反省的研究，藉此亦可在本校往科技與醫學領域擴展中扮演一重要角色。在教學規畫方面，根據本系師資研究專長，提供全盤性的哲學基礎訓練課程，內容涵蓋中國哲學的現代詮釋、西方哲學的深入探索、人文社會科學的哲學基礎研究，以及科技之人文價值反省等四方面。,https://thinker.nccu.edu.tw/main.php
110,公立,一般大學,0001,國立政治大學,02311009,英國語文學系,日間,學士班(含四技),59,0,59,4,100.00,本系教育目標在培養：一、文學及語言學人才，從事學術研究，促進東西文化及學術交流；二、中、小學英語文師資，提高國內英語文教學水準；三、翻譯、外事及經貿等實務外語人才，助益國家整體發展。本系的課程多元，除基本語言、文學、語言學之必修課程，學生亦有機會選修文學類別或語言學/英語教學等類進階課程。此外，為豐富學生文化知識內涵，培養學生跨領域整合學科的能力，本系也鼓勵學生修習第二外語及校內各系所設計之學程，期許學生能多方深入瞭解不同文化，學習以多種思維邏輯推敲事理，以擴張其視野，建立其價值觀，並找到實踐理念之方法。,https://english.nccu.edu.tw/PageDoc/Detail?fid=4597&id=1822
110,公立,一般大學,0001,國立政治大學,02311011,日本語文學系,日間,學士班(含四技),32,0,32,2,100.00,本系在大學部以培養多元、全方位的知日通才為目標以及開設聽、說、讀、寫、譯等日語相關課程。日語語學、文學、歷史文化等相關課程。透過小班教學的語文訓練與專業知識的傳授，培養學生成為知日人材。 此外本系亦積極拓展日本姊妹校間之交換學生制度，讓學生在提升語言能力之同時，實際接觸日本文化，拓展國際視野。同時，本系亦鼓勵同學有雙專長跨領域之能力，因此積極推展雙修、輔修、學程以及與外系合作之課程。盼畢業後能依在校培養之學識、能力與興趣，於日本相關之領域，如教學、研究乃至外交、翻譯、管理、國際貿易等業種發揮所學。,https://japanese.nccu.edu.tw
110,公立,一般大學,0001,國立政治大學,02311012,阿拉伯語文學系,日間,學士班(含四技),44,0,44,0,100.00,本系是國內唯一研習阿拉伯世界的學術機構，教學目標在為國家積極培植阿拉伯語文人才，除了學習語言之外，學生並具備阿拉伯文化、歷史、地理、政治、經貿、民族、社會、伊斯蘭等各領域之專業知識，俾便將來從事學術研究與相關之實務工作。,https://arabic.nccu.edu.tw/main.php
110,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,日間,學士班(含四技),29,0,29,2,100.00,為國內培養韓語專業人才歷史最為悠久之科系，重視外語專業與人文素養的養成，積極推動國際交流，期使學生具有國際移動能力。此外，也要求學生對東北亞區域事務具備基本知識，以達到培育雙外語、雙專長的韓國事務人才之目標。 本系教學目標以學習韓國語文為主，韓國學為輔，理論與實際兼顧。課程方面除了聽、說、讀、寫、譯等各種語文能力訓練外，並開設商用韓語、時事韓國語、韓語翻譯等專門課程；同時加強有關文學、文化、歷史、社會等知識之傳授，使學生將來無論就業或從事學術研究，皆能紮下良好的基礎。 目前本校與韓國20餘所大學締結為姐妹校，每年總計可薦送20-30名學生前往韓國交換學習；此外本系亦與北京大學、山東大學等大陸名校韓語系，推動學術合作往來關係。由本系教師輪流率領學生赴韓進行為期四週的語言文化研習暑期遊學團，已有20多年歷史，乃本系重要特色之一，也是將所學應用於實際的最佳典範。,https://korean.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,02311015,土耳其語文學系,日間,學士班(含四技),30,0,29,1,96.77,近年來歐洲及土耳其學術、政治、外交、經濟、貿易與文化各領域之發展，多已經開始以土耳其世界(即土耳其共和國和中亞之哈薩克、吉爾吉斯、烏茲別克、土庫曼以及高加索之亞塞拜然和位於地中海之賽普勒斯)為整體範圍，進行相關研究與評量。且近年來亦有學者主張應予統一此一地理區塊之語言文字。由此觀之，地跨歐、亞大陸而以土耳其為中心的土耳其語族系區域聯盟隱然形成。為因應整個國際新形勢，本系除了強化學生語文教學，並推展區域研究與突厥學研究，為我國與中、西亞之土耳其語族系國家及新階段的外交、經貿與文化各領域的拓展，培育所需之人才，並提供學術研究的成果以為奧援。本系招生目標在積極培育土耳其語人才，課程之配置以學習語言為主，瞭解土耳其文化為輔。語言課程包含聽、說、讀、寫、譯等外語基本能力之訓練，此外在文化研究方面，加強有關歷史、地理、政治、社會等知識之傳授，為學生奠定未來就業與深造的紮實基礎。,https://turkish.nccu.edu.tw/
110,公立,一般大學,0001,國立政治大學,02311016,歐洲語文學系,日間,學士班(含四技),56,0,56,1,100.00,本系前身為「歐洲語文學程」，101學年起更名為「歐洲語文學系」，自95學年度起分法文、德文、西班牙文三語組招生，各語組分班上課。每組採小班制教學，以專業整合各語組語言聽說讀寫之訓練，並強調文化認識、文學素養與人文關懷等面向。 本系教學特色與目標如下：1.培養且落實「立足臺灣，認識歐洲，放眼世界」之精英人才視野與胸襟，配合教育部建立多元外文人才之培育，強化歐洲語言與文化教學與研究，加強院（校）內各系所相關資源整合。2.培養中等教育之第二外語師資：落實臺灣外語多元化，培養臺灣學生的國際觀與未來視野。3.歐洲語文人才之跨學科訓練：從外語學習到文學文化之訓練，並結合國際事務、區域研究、政治經濟及傳播教育的學科，期望能訓練出我國未來開拓歐洲交流之全方位人才。,https://european.nccu.edu.tw/
