學習階段,學校名稱,縣市,地區
高中,國立基隆高級中學,基隆,北部
高中,臺北市立永春高級中學,台北,北部
高中,臺北市立第一女子高級中學,台北,北部
高中,私立泰北高級中學,台北,北部
高中,臺北市立陽明高級中學,台北,北部
高中,臺北市立復興高級中學,台北,北部
高中,臺北市立中崙高級中學,台北,北部
高中,臺北市立麗山高級中學,台北,北部
高中,私立金陵女子高級中學,新北,北部
高中,私立及人高級中學,新北,北部
高職,私立莊敬高級工業家事職業學校,新北,北部
高中,新北市立三民高級中學,新北,北部
高中,新北市立北大高級中學,新北,北部
高中,私立醒吾高級中學,新北,北部
高中,新北市立清水高級中學,新北,北部
高職,國立中壢高級家事商業職業學校,桃園,北部
高中,私立啟英高級中學,桃園,北部
高中,國立中央大學附屬中壢高中,桃園,北部
高中,桃園市立平鎮高級中學,桃園,北部
高中,私立大明高級中學,台中,中部
高中,私立明德高級中學,台中,中部
高中,私立嶺東高級中學,台中,中部
高職,私立光華高級工業職業學校,台中,中部
高中,臺中市立惠文高級中學,台中,中部
高中,私立明道高級中學,台中,中部
高中,私立葳格高級中學,台中,中部
高中,國立員林高級中學,彰化,中部
高中,私立精誠高級中學,彰化,中部
高中,國立南投高級中學,南投,中部
高中,南投縣立旭光高級中學,南投,中部
高中,國立新港藝術高級中學,嘉義,中部
高中,私立同濟高級中學,嘉義,中部
高中,私立宏仁女子高級中學,嘉義,中部
高中,國立臺南家齊女子高級中學,台南,南部
高中,私立聖功女子高級中學,台南,南部
高中,私立德光高級中學,台南,南部
高職,私立南英高級商工職業學校,台南,南部
高中,高雄市立文山高級中學,高雄,南部
高中,私立立志高級中學,高雄,南部
高職,私立三信高級家事商業職業學校,高雄,南部
高中,國立羅東高級中學,宜蘭,北部
高中,國立蘭陽女子高級中學,宜蘭,北部
高職,國立花蓮高級工業職業學校,花蓮,東部
高中,私立四維高級中學,花蓮,東部
高中,私立海星高級中學,花蓮,東部
