學習階段,學校名稱,縣市,地區
高中,臺北市立中崙高級中學,台北,北部
高中,臺北市立永春高級中學,台北,北部
高中,臺北市立建國中學,台北,北部
高中,臺北市立第一女子高級中學,台北,北部
高中,臺北市立內湖高級中學,台北,北部
高中,臺北市立陽明高級中學,台北,北部
高中,臺北市立復興高級中學,台北,北部
高中,臺北市立中正高級中學,台北,北部
高中,新北市私立金陵女子高級中學,新北,北部
高中,新北市財團法人南山高級中學,新北,北部
高職,新北市私立莊敬高級工業家事職業學校,新北,北部
高中,新北市立樹林高級中學,新北,北部
高中,新北市立北大高級中學,新北,北部
高中,國立中央大學附屬中壢高級中學,新北,北部
高中,桃園市立平鎮高級中學,桃園,北部
高中,桃園市立永豐高級中學,桃園,北部
高中,新竹市私立曙光女子高級中學,新竹,北部
高中,新竹市私立磐石高級中學,新竹,北部
高中,國立苑裡高級中學,苗栗,中部
高中,臺中市私立明道高級中學,台中,中部
高中,臺中市私立華盛頓高級中學,台中,中部
高中,臺中市私立葳格高級中學,台中,中部
高中,臺中市私立新民高級中學,台中,中部
高中,臺中市私立嶺東高級中學,台中,中部
高職,臺中市財團法人光華高級工業職業學校,台中,中部
高中,臺中市立惠文高級中學,台中,中部
高中,南投縣立旭光高級中學,南投,中部
高中,國立新豐高級中學,台南,南部
高中,臺南市財團法人聖功女子高級中學,台南,南部
高職,高雄市私立三信家事商業職業學校,高雄,南部
高中,國立屏北高級中學,屏東,南部
高中,國立羅東高級中學,宜蘭,北部
高職,國立花蓮高級工業職業學校,花蓮,東部
高職,國立花蓮高級農業職業學校,花蓮,東部
